model_id	插电式混动	柴油	汽油	油电混合	纯电动
3999			True		
557			True		
82			True		
86			True		
631			True		
3416			True		
539			True		
224		True	True		
669			True		
3301			True		
3970			True		
4767			True		
3128			True		
4921			True		
2990			True		
3792			True		
4808			True		
4805			True		
3789			True		
2540			True		
554			True		
2742			True		
3414			True		
4423			True		
3785			True		
4486		True	True		
2901			True		
951			True		
3279			True		
4888		True	True		
2512		True	True		
2510		True	True		
561		True	True		
562			True		
5103			True		
2556			True		
3461			True		
3463			True		
3786			True		
4383			True		
4097			True		
3341			True		
1006			True		
790			True		
3493			True		
4468			True		
4023			True		
5384			True		
4759			True		
3925			True		
3829			True		
3828		True	True		
3086		True	True		
3963			True		
3309			True		
2952			True		
3324			True		
4610			True		
606			True		
2769			True		
4901			True		
4086			True		
3634			True		
2776			True		
126			True		
2477			True		
2530			True		
3637			True		
3984			True		
3502			True		
2865			True		
4299			True		
3697			True		
3698			True		
3699			True		
5034			True		
5067			True		
2452			True		
2497			True		
3036			True		
2500			True		
2501			True		
2499			True		
2490			True		
2495			True		
2744			True		
2498			True		
2491			True		
2494			True		
574			True		
602		True	True		
575			True		
5069			True		
4943			True		
4938			True		
545			True		
4259			True		
3126			True		
3462			True	True	
110			True	True	
4645			True		
771			True		
505			True		
2237			True		
111			True		
4260			True		
526			True	True	
4962			True	True	
882			True		
4646			True		
770			True		
46			True		
2527		True	True		
109			True		
375			True		
170			True		
45			True		
2107			True	True	
2574			True		
107			True		
2607			True		
2354			True		
762			True		
2244			True		
5383			True		
364			True		
3347			True		
3693			True		
117			True		
2871			True		
2863			True		
3615			True		
659			True		
577			True		
3175			True		
498			True		
4899			True		
3518		True	True		
3814			True		
4192		True	True		
2524		True	True		
2523		True	True		
704			True		
2024			True		
102			True		
2353			True		
4314			True		
5141			True		
4027			True		
4524			True		
3720			True		
2682			True		
889			True		
459			True		
2261			True		
361			True		
308			True		
367			True		
359			True		
4760			True		
3307		True	True		
4227			True		
4228			True		
3676			True		
3821			True		
3991			True		
3990			True		
4893			True		
4165			True		
5362			True		
3440		True	True		
4035		True	True		True
2535		True	True		
2542		True	True		
3089		True	True		
3735		True	True		True
2579		True	True		
2577		True	True		
661			True		
2767			True		
3267			True		
465			True		
89			True		
90			True		
91			True		
3633		True	True		
2895		True	True		
3754		True	True		
2455		True	True		
2453		True	True		
2475		True	True		
3992			True		
3877			True		
3346			True		
4630			True		
3349			True		
3782			True		
3495			True		
3691			True		
2560			True		
4230			True		
4094			True		
4662			True		
4174			True		
3069			True		
3524			True		
2141			True		
3574			True		
2974			True		
3662			True		
947			True		
980			True		
2355			True		
2488			True		
2885			True		
3159			True		
3139			True		
3140			True		
2599		True	True		
2571		True	True		
2568		True	True		
3480		True	True		
3272			True		
2114			True		
969			True		
865			True		
1015			True		
968			True		
2306		True	True		
2774		True	True		
3477			True		
967			True		
864		True	True		
3134			True		
2093			True		
2095			True		
2615			True		
4168			True		
4792			True		
4898			True		
4984			True		
4608			True		
2027		True	True		
2123			True		
3481			True		
4485			True		
3074			True		
3298		True	True		
3454			True		
2124		True	True		
395		True	True		
3108			True		
4410			True		
2771			True		
5048			True		
4150			True		
556			True		
428			True		
2941			True		
3006			True		
4169			True		
4770			True		
3214			True		
2318			True		
855			True		
3160			True		
2481			True		
470			True		
4774			True		
3075			True		
4525			True		
2766			True		
3994			True		
824			True		
47			True		
527			True		
696			True		
823			True		
4205			True		
844			True		
67			True		
68			True		
392			True		
481			True		
2487			True		
2485			True		
2536			True		
2486			True		
3038			True		
3607			True		
4518			True		
4483			True		
3896			True		
2133			True		
2108		True	True		
477		True	True		
290		True	True		
2572		True	True		
3636		True	True		
3149		True	True		
2673		True	True		
3911		True	True		
2517		True	True		
2515		True	True		
3455		True	True		
3846		True	True		
4436		True	True		
5334		True	True		
2516		True	True		
2160			True		
2212		True	True		
673		True	True		
2211		True	True		
2754		True	True		
2755		True	True		
2973		True	True		
4226			True		
4130			True		
4825			True		
379			True		
38			True		
3844			True		
570			True		
461			True		
194			True		
460			True		
862			True		
447			True		
4702			True		
3556			True		
4139			True		
474			True		
4701			True		
4293			True		
4481			True		
3788			True		
3465			True		
4982			True		
4491			True		
4133			True		
4396			True		
3589			True		
2192			True		
608			True		
133			True		
2840			True		
2111			True		
2156			True		
609			True		
132			True		
421			True		
409			True		
2051			True		
2155			True		
799			True		
801			True		
989			True		
2964			True		
3467			True		
841		True	True		
138			True		
611			True		
291			True		
23			True		
4072			True		
3845			True		
4673			True		
4891			True		
3872			True		
121			True		
521		True	True		
777			True		
503			True		
4462			True		
4083			True		
4663			True		
3312			True		
589			True		
178			True		
3209			True		
2903			True		
328			True		
258			True		
3363			True		
3545			True		
3080			True		
4934			True		
2752			True		
4234			True		
3351			True		
4090		True	True		
2543		True	True		
3061			True		
4619			True		
3490		True	True		
2569		True	True		
4710		True	True		
3546		True	True		
4847		True	True		
2541		True	True		
828			True		
3407			True		
3408			True		
2956			True		
660			True		
617			True		
616			True		
567			True		
4087			True		
572		True	True		
816			True		
3443		True	True		
3444		True	True		
2581		True	True		
3456		True	True		
4209		True	True		
2514		True	True		
4930		True	True		
2860		True	True		
2674		True	True		
4992			True		
4294			True		
2537		True	True		
2545		True	True		
2810		True	True		
4237			True		
2402			True		
3763			True		
3955			True		
3136			True		
2712			True		
2837			True		
3721			True		
3722			True		
4311			True		
4312			True		
4964			True		
2601			True		
2711			True		
3898			True		
3515			True		
3853			True		
4076		True	True		
2660		True	True		
3868			True		
2325			True		
2659		True	True		
2665			True		
2986		True	True		
2985		True	True		True
4850			True		
3320			True		
3628		True	True		
2573		True	True		
5126		True	True		
3886		True	True		
2976		True	True		
5079			True		
4683			True		
5052			True		
4797			True		
4555			True		
4519			True		
4696			True		
5099			True		
3207			True		
3802			True		
2949			True		
4856			True		
3989			True		
5102			True		
488			True		
970			True		
462			True		
49			True		
426			True		
4039			True		
3384			True		
2476		True	True		
3017			True		
2496			True		
517			True		
2489			True		
2492			True		
2493			True		
2484			True		
3156			True		
3854		True	True		
911			True		
566			True		
487			True		
227			True		
342			True		
2207			True		
380			True		
222			True		
4474			True		
3983			True		
3971			True		
4095			True		
3586			True		
3581			True		
731			True		
732			True		
4563			True		
3360		True	True		
4557		True	True		
3409			True		
3511			True		
4172		True	True		
2611			True		
2610			True		
201			True		
403			True	True	
341			True	True	
4197			True	True	
3442			True	True	
3934			True	True	
352			True		
3758			True		
261			True		
351			True	True	
332			True		
3238			True		
697			True		
3871			True		
754			True		
4316			True		
802			True		
850			True		
69			True		
77		True	True		
3177			True		
75			True		
3216			True		
3112			True		
2049			True		
432			True		
2534			True		
362			True		
3528			True		
529			True		
3858			True		
4435			True		
872			True		
94			True		
2242			True		
3185			True		
508			True		
3926			True		
500			True		
892			True		
793			True	True	
3731			True		
2991			True		
4635			True		
758			True		
95			True		
869			True		
103			True		
4402			True		
4221			True		
4616			True		
4098			True		
3870			True		
2268			True		
2029			True		
908			True		
188			True		
2184			True		
257			True		
265			True		
836			True		
3778			True		
3015			True		
3838			True		
2775			True		
3277			True		
2277			True		
354			True		
174			True		
727			True		
4111			True		
4682			True		
3472			True		
3150			True		
4126		True	True		
706			True		
815			True		
3124			True		
961		True	True		
962			True		
569		True	True		
568			True		
2520		True	True		
2521		True	True		
3034		True	True		
4302			True		
2883			True		
3413			True		
833		True	True		
4233			True		
571			True		
501		True	True		
635		True	True		
468			True		
3326			True		
3220			True		
2134			True		
3987			True		
3759			True		
4194			True		
3631			True		
597			True		
3082			True		
2957			True		
443			True		
596			True		
3083			True		
2312			True		
2503			True		
2800			True		
2502			True		
3228			True		
3229			True		
681			True		
2248			True		
3864			True		
583			True		
691			True		
928			True		
2125			True		
2102			True		
4600			True		
4865			True		
4988			True		
3294			True		
2987			True		
4870			True		
433			True		
641			True		
363			True		
2418			True		
3154			True		
3968			True		
22			True		
655			True		
3066			True		
2118			True		
3538			True		
672			True		
658			True		
578			True		
304			True		
295			True		
2147			True		
555			True		
835			True		
3547			True		
4247			True		
4868			True		
3065			True		
532			True		
531			True		
533			True		
3060			True		
289			True		
2428			True		
551			True		
903			True		
191			True		
209			True		
749			True		
750			True		
930			True		
2241			True		
904			True		
3178			True		
3179			True		
3181			True		
3182			True		
3180			True		
3809			True		
3767			True		
4880			True		
4366			True		
2293			True		
3620			True		
3153			True		
2835			True		
3736			True		
3152			True		
2836			True		
3151			True		
3491			True		
389			True		
2988			True		
3939			True		
4497			True		
3293			True		
3040			True		
2295			True		
2296			True		
4381			True		
4096			True	True	
4820			True		
479			True		
464			True		
2563			True		
182			True		
670			True		
2263			True		
3405			True		
2980			True		
4787			True		
3397			True		
4099			True		
4531			True		
3766			True		
4693			True		
3195			True		
2989			True		
87			True		
478			True		
612			True		
996			True		
837			True		
518			True		
2953			True		
85			True		
2178			True		
3157			True		
84			True		
530			True		
434			True		
2324			True		
2180			True		
83			True		
2331			True		
854			True		
396			True		
3300			True		
451			True		
2914			True		
4505			True		
4387			True		
2319			True		
813			True		
2886			True		
4523			True		
2246			True		
3664			True		
4824			True		
3954			True		
2137			True		
4200			True		
142			True		
454			True		
876			True		
413			True		
3385			True		
3286			True		
298			True		
565			True		
284			True		
2420			True		
281		True	True		
591			True		
3448		True	True		
275			True		
453			True		
502		True	True		
1016			True		
4490			True		
4887			True		
3618			True		
4115			True		
4315			True		
3475			True		
2341			True		
2867			True		
3226			True		
3904			True		
4493		True	True		
3466		True	True		
3639		True	True		
3981		True	True		
3967			True		
3621			True		
2086			True		
522			True		
425			True		
448			True		
64			True		
3817			True		
634			True		
3957			True		
4305			True		
564			True		
4691			True		
656			True		
2381			True	True	
355			True		
63			True		
475			True		
2113			True		
4307			True		
2466		True	True		
2853			True		
53			True		
205			True		
